gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
998668050	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633744	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	41.77	-1.74	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633744				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:49.951Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668048	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633760	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	41.66	-0.3	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633760				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.390Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668046	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633749	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	41.58	-1.02	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633749				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.426Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668044	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633773	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	41.84	0.65	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633773				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:50.311Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668043	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633745	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	41.59	-1.62	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633745				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.049Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668042	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633753	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	42.3	-0.88	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633753				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.371Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668041	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633758	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	41.75	-0.53	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633758				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:50.134Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668040	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633752	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	42.39	-1.0	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633752				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:50.589Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668039	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633762	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	42.28	-0.03	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633762				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:49.951Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668038	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633763	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	42.55	-0.26	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633763				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.050Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
