"species"	"x"	"y"
"Vaspis"	8.48172	46.008529
"Vaspis"	7.977935	45.127191
"Vaspis"	4.714864	45.093668
"Vaspis"	7.259437	47.9415
"Vaspis"	8.499224	46.074281
"Vaspis"	4.6396	48.21143
"Vaspis"	2.37032	48.510294
"Vaspis"	2.698256	48.285301
"Vaspis"	8.781498	44.53857
"Vaspis"	0.667092	42.710543
"Vaspis"	4.639259	48.210411
"Vaspis"	12.400762	41.772304
"Vaspis"	2.698333	48.285333
"Vaspis"	2.370126	48.511002
"Vaspis"	1.792471	42.470719
"Vaspis"	12.393567	41.721563
"Vaspis"	8.466394	46.054708
"Vaspis"	7.758464	44.245132
"Vaspis"	8.689149	45.560729
"Vaspis"	12.39382	41.721912
"Vaspis"	13.115611	41.915282
"Vaspis"	7.253516	47.945435
"Vaspis"	-1.196328	45.028733
"Vaspis"	12.393807	41.721851
"Vaspis"	2.378784	41.823824
"Vaspis"	2.371885	48.48628
"Vaspis"	12.582623	42.610285
"Vaspis"	11.084024	46.013791
"Vaspis"	4.778052	48.26154
"Vaspis"	10.840178	44.19923
"Vaspis"	7.175231	44.957674
"Vaspis"	2.734212	42.30722
"Vaspis"	12.0779	42.246661
"Vaspis"	2.373252	48.486015
"Vaspis"	10.885042	45.933163
"Vaspis"	13.007376	41.570742
"Vaspis"	12.922127	41.944484
"Vaspis"	2.369238	48.486407
"Vaspis"	-2.375346	42.66458
"Vaspis"	2.370225	48.503922
"Vaspis"	11.801759	43.52183
"Vaspis"	8.818795	45.871021
"Vaspis"	1.81399	43.288426
"Vaspis"	2.369084	48.486326
"Vaspis"	2.000519	42.148604
"Vaspis"	1.136379	45.442649
"Vaspis"	7.61563	47.48076
"Vaspis"	8	45
"Vaspis"	9.19313	45.46667
"Vaspis"	-2.167576	47.165763
"Vaspis"	5.891564	46.121963
"Vaspis"	5.9512	45.620151
"Vaspis"	-3.5239	42.729041
"Vaspis"	-1.202455	44.981342
"Vaspis"	1.799104	42.588628
"Vaspis"	7.16607	45.07695
"Vaspis"	9.008695	45.236221
"Vaspis"	2.775706	48.34161
"Vaspis"	2.777422	48.342596
"Vaspis"	5.888903	46.123296
"Vaspis"	2.777288	48.34235
"Vaspis"	12.079042	43.42954
"Vaspis"	11.255176	43.860019
"Vaspis"	-2.691857	42.821497
"Vaspis"	12.580585	42.512737
"Vaspis"	-1.241753	47.177925
"Vaspis"	6.783059	46.043234
"Vaspis"	1.063096	42.886004
"Vaspis"	13.013828	41.566895
"Vaspis"	-1.339103	45.928755
"Vaspis"	7.3359	45.58425
"Vaspis"	2.470316	45.310349
"Vaspis"	11.481156	43.463686
"Vaspis"	2.488	41.889
"Vaspis"	0.96	42.574
"Vaspis"	2.121	42.337
"Vaspis"	1.866	42.335
"Vaspis"	2.284	41.807
"Vaspis"	2.011	42.345
"Vaspis"	2.489	41.754
"Vaspis"	2.478	41.628
"Vaspis"	2.404	41.879
"Vaspis"	2.727	42.403
"Vaspis"	1.99	42.138
"Vaspis"	1.591	42.142
"Vaspis"	1.939	42.326
"Vaspis"	2.343	41.942
"Vaspis"	2.429	41.762
"Vaspis"	0.969	42.664
"Vaspis"	2.934	42.475
"Vaspis"	0.831	42.77
"Vaspis"	2.752	42.376
"Vaspis"	2.477	41.772
"Vaspis"	1.113	42.73
"Vaspis"	2.133	42.337
"Vaspis"	2.284	41.852
"Vaspis"	2.278	42.356
"Vaspis"	2.302	42.374
"Vaspis"	1.999	42.336
"Vaspis"	2.68	42.079
"Vaspis"	1.55	42.331
"Vaspis"	2.535	42.159
"Vaspis"	2.367	42.023
"Vaspis"	2.364	42.302
"Vaspis"	2.244	42.14
"Vaspis"	2.393	41.735
"Vaspis"	10.99281	45.490101
"Vaspis"	10.911806	45.580707
"Vaspis"	11.414959	45.750133
"Vaspis"	-1.973178	48.557027
"Vaspis"	-1.973329	48.556987
"Vaspis"	10.693595	45.71798
"Vaspis"	7.376	49.408333
"Vaspis"	13.085223	41.547152
"Vaspis"	5.435525	45.749145
"Vaspis"	3.416957	48.080899
"Vaspis"	-0.447659	42.872715
"Vaspis"	-0.390729	42.858539
"Vaspis"	1.381919	42.807744
"Vaspis"	-0.568495	42.899675
"Vaspis"	1.83861	46.277557
"Vaspis"	1.234798	45.608133
"Vaspis"	1.235749	45.607741
"Vaspis"	1.399745	45.583667
"Vaspis"	1.241553	45.568412
"Vaspis"	3.417091	44.274828
"Vaspis"	15.020376	37.134437
"Vaspis"	1.235178	45.607633
"Vaspis"	12.449699	41.723625
"Vaspis"	2.774823	48.331496
"Vaspis"	-0.332118	42.771658
"Vaspis"	1.367338	45.670654
"Vaspis"	0.11092	43.12306
"Vaspis"	0.21642	42.96168
"Vaspis"	-0.54223	45.50253
"Vaspis"	-0.55295	43.4552
"Vaspis"	2.22382	48.51854
"Vaspis"	2.36991	48.51372
"Vaspis"	2.40002	48.52015
"Vaspis"	2.36998	48.51252
"Vaspis"	2.40013	48.51981
"Vaspis"	2.40022	48.51967
"Vaspis"	2.36968	48.51475
"Vaspis"	2.4039	48.51787
"Vaspis"	2.40066	48.52084
"Vaspis"	2.36955	48.5148
"Vaspis"	2.4	48.52077
"Vaspis"	2.39944	48.51926
"Vaspis"	2.4	48.52012
"Vaspis"	2.49794	48.42043
"Vaspis"	2.5879	48.39956
"Vaspis"	2.45831	48.50172
"Vaspis"	2.68225	48.38927
"Vaspis"	2.57865	48.39556
"Vaspis"	2.3702	48.5121
"Vaspis"	2.57431	48.39703
"Vaspis"	2.74239	48.26092
"Vaspis"	2.78645	48.34424
"Vaspis"	2.57728	48.39655
"Vaspis"	2.66955	48.40178
"Vaspis"	2.36881	48.48552
"Vaspis"	2.5744	48.3249
"Vaspis"	2.33884	48.51693
"Vaspis"	2.77615	48.3419
"Vaspis"	2.77689	48.34211
"Vaspis"	2.72141	48.21864
"Vaspis"	2.77669	48.34207
